               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040528,            0.018906,            0.012449,             0.77787,             0.80087,             0.84419,             0.42786,            0.032897,           0.0074758,           0.0047041,            0.006436,            0.006436,            0.006436
                  38,            0.041546,            0.018819,             0.01316,             0.84834,             0.85388,             0.89363,             0.47891,            0.032139,           0.0072523,           0.0033295,            0.006337,            0.006337,            0.006337
                  39,            0.039355,            0.018585,            0.012379,             0.79369,              0.8101,             0.85889,             0.45706,            0.032425,           0.0072773,           0.0038819,            0.006238,            0.006238,            0.006238
                  40,            0.041277,            0.018576,            0.014387,             0.80889,             0.82151,              0.8676,             0.46279,            0.033019,           0.0072518,           0.0039835,            0.006139,            0.006139,            0.006139
                  41,            0.039048,              0.0192,            0.012604,             0.84642,             0.84717,             0.88614,              0.4719,            0.032229,           0.0072681,           0.0038126,             0.00604,             0.00604,             0.00604
                  42,            0.038654,            0.019364,            0.012159,             0.79682,             0.81794,             0.84917,             0.45674,            0.032895,           0.0073339,           0.0040051,            0.005941,            0.005941,            0.005941
                  43,            0.039509,            0.019282,            0.013323,             0.81412,             0.82923,             0.87529,             0.47083,            0.033435,           0.0073646,           0.0033455,            0.005842,            0.005842,            0.005842
                  44,            0.038742,            0.019019,            0.012776,             0.80497,             0.82403,             0.88305,             0.48145,             0.03228,           0.0072819,            0.003997,            0.005743,            0.005743,            0.005743
                  45,            0.038666,            0.018755,            0.012104,             0.80907,              0.8254,             0.88277,             0.49547,             0.03144,            0.007291,           0.0043728,            0.005644,            0.005644,            0.005644
                  46,            0.038542,            0.018692,            0.011826,             0.76364,             0.80145,             0.85709,             0.47668,            0.033813,           0.0075749,           0.0049947,            0.005545,            0.005545,            0.005545
                  47,            0.037744,            0.018394,            0.012338,             0.82394,             0.84188,             0.90917,             0.52121,            0.029644,           0.0070936,           0.0036455,            0.005446,            0.005446,            0.005446
                  48,            0.036458,            0.019223,            0.011058,             0.87262,             0.86713,             0.90814,             0.51381,            0.029347,           0.0069834,           0.0023996,            0.005347,            0.005347,            0.005347
                  49,            0.038897,            0.018541,            0.011982,             0.80702,             0.83447,             0.88146,             0.50799,            0.030659,           0.0072005,           0.0037367,            0.005248,            0.005248,            0.005248
                  50,            0.037295,            0.018908,            0.010556,             0.86315,             0.88031,             0.90583,             0.54656,            0.029221,           0.0067538,           0.0023711,            0.005149,            0.005149,            0.005149
                  51,            0.038038,            0.018706,            0.012421,             0.86431,             0.84552,             0.91033,             0.52555,            0.029574,           0.0069089,           0.0033511,             0.00505,             0.00505,             0.00505
                  52,            0.036406,            0.018327,            0.011007,             0.87007,             0.87038,             0.92382,             0.54531,            0.029382,           0.0068035,           0.0027402,            0.004951,            0.004951,            0.004951
                  53,            0.037016,            0.017755,             0.01108,             0.87189,             0.88316,             0.93506,             0.57492,            0.028401,           0.0066631,           0.0024249,            0.004852,            0.004852,            0.004852
