
0, [8370.    0.]
10, [8369.71563339   68.99432002]
20, [8368.86255288  137.98395194]
30, [8367.44081644  206.96420799]
40, [8365.45052067  275.93040103]
50, [8362.89180081  344.87784487]
60, [8359.76483073  413.8018546 ]
70, [8356.0698229   482.69774691]
80, [8351.80702838  551.56084038]
90, [8346.97673684  620.38645583]
100, [8341.57927649  689.16991664]
110, [8335.61501408  757.90654904]
120, [8329.08435487  826.59168243]
130, [8321.98774262  895.22064974]
140, [8314.32565953  963.78878769]
150, [8306.09862624 1032.29143715]
160, [8297.30720176 1100.72394342]
170, [8287.95198346 1169.08165659]
180, [8278.03360703 1237.35993182]
190, [8267.5527464  1305.55412967]
200, [8256.51011374 1373.6596164 ]
210, [8244.90645938 1441.67176432]
220, [8232.74257179 1509.58595207]
230, [8220.01927748 1577.39756495]
240, [8206.73744099 1645.10199523]
250, [8192.89796481 1712.69464245]
260, [8178.50178931 1780.17091376]
270, [8163.54989271 1847.52622422]
280, [8148.04329097 1914.75599711]
290, [8131.98303775 1981.85566421]
300, [8115.37022432 2048.82066619]
310, [8098.20597952 2115.64645282]
320, [8080.49146962 2182.32848337]
330, [8062.22789833 2248.86222686]
340, [8043.41650662 2315.24316239]
350, [8024.05857272 2381.46677943]
360, [8004.15541198 2447.52857817]
370, [7983.70837679 2513.42406975]
380, [7962.71885651 2579.14877666]
390, [7941.18827737 2644.69823296]
400, [7919.11810233 2710.06798463]
410, [7896.50983106 2775.25358986]
420, [7873.36499975 2840.25061935]
430, [7849.68518108 2905.05465662]
440, [7825.47198406 2969.66129831]
450, [7800.72705397 3034.06615444]
460, [7775.45207218 3098.26484878]
470, [7749.64875612 3162.25301909]
480, [7723.31885909 3226.02631744]
490, [7696.46417019 3289.58041048]
500, [7669.08651415 3352.9109798 ]
510, [7641.18775128 3416.01372212]
520, [7612.76977725 3478.8843497 ]
530, [7583.83452305 3541.51859052]
540, [7554.38395479 3603.91218866]
550, [7524.42007362 3666.06090453]
560, [7493.94491554 3727.96051519]
570, [7462.96055132 3789.60681462]
580, [7431.46908632 3850.99561401]
590, [7399.47266033 3912.12274206]
600, [7366.97344751 3972.98404524]
610, [7333.97365612 4033.57538809]
620, [7300.47552847 4093.89265347]
630, [7266.48134074 4153.9317429 ]
640, [7231.99340278 4213.68857678]
650, [7197.01405803 4273.15909468]
660, [7161.54568329 4332.33925566]
670, [7125.59068861 4391.22503846]
680, [7089.15151709 4449.81244187]
690, [7052.23064473 4508.09748492]
700, [7014.83058027 4566.07620721]
710, [6976.95386502 4623.74466914]
720, [6938.60307265 4681.09895219]
730, [6899.78080907 4738.13515919]
740, [6860.48971221 4794.8494146 ]
750, [6820.73245185 4851.23786473]
760, [6780.51172948 4907.29667805]
770, [6739.83027803 4963.02204542]
780, [6698.69086179 5018.41018034]
790, [6657.09627613 5073.45731926]
800, [6615.04934736 5128.15972177]
810, [6572.55293253 5182.5136709 ]
820, [6529.60991923 5236.51547335]
830, [6486.2232254  5290.16145976]
840, [6442.39579911 5343.44798492]
850, [6398.1306184  5396.37142809]
860, [6353.43069105 5448.92819315]
870, [6308.29905436 5501.11470893]
880, [6262.73877499 5552.9274294 ]
890, [6216.75294872 5604.36283395]
900, [6170.34470023 5655.41742759]
910, [6123.51718293 5706.08774121]
920, [6076.27357868 5756.37033181]
930, [6028.61709766 5806.26178274]
940, [5980.55097807 5855.75870393]
950, [5932.07848596 5904.85773211]
960, [5883.20291498 5953.55553104]
970, [5833.92758618 6001.84879176]
980, [5784.25584778 6049.73423279]
990, [5734.19107491 6097.20860037]
1000, [5683.73666943 6144.26866865]
1010, [5632.89605966 6190.91123996]
1020, [5581.67270018 6237.13314497]
1030, [5530.07007156 6282.93124295]
1040, [5478.09168015 6328.30242197]
1050, [5425.74105782 6373.2435991 ]
1060, [5373.02176176 6417.75172063]
1070, [5319.93737419 6461.82376228]
1080, [5266.49150213 6505.45672939]
1090, [5212.68777718 6548.64765716]
1100, [5158.52985526 6591.39361079]
1110, [5104.02141634 6633.69168575]
1120, [5049.1661642  6675.53900792]
1130, [4993.96782622 6716.93273382]
1140, [4938.43015307 6757.87005078]
1150, [4882.55691847 6798.34817716]
1160, [4826.35191896 6838.3643625 ]
1170, [4769.81897362 6877.91588775]
1180, [4712.96192379 6917.00006542]
1190, [4655.78463285 6955.61423977]
1200, [4598.29098596 6993.75578702]
1210, [4540.48488975 7031.42211547]
1220, [4482.37027207 7068.61066576]
1230, [4423.95108177 7105.31891093]
1240, [4365.23128837 7141.54435672]
1250, [4306.21488183 7177.28454163]
1260, [4246.90587224 7212.53703716]
1270, [4187.30828959 7247.29944793]
1280, [4127.42618349 7281.56941187]
1290, [4067.26362287 7315.34460037]
1300, [4006.8246957  7348.62271844]
1310, [3946.11350876 7381.40150486]
1320, [3885.13418731 7413.67873236]
1330, [3823.89087483 7445.45220771]
1340, [3762.38773276 7476.71977196]
1350, [3700.62894015 7507.47930049]
1360, [3638.61869347 7537.72870323]
1370, [3576.36120625 7567.46592476]
1380, [3513.86070883 7596.68894447]
1390, [3451.12144804 7625.39577667]
1400, [3388.14768697 7653.58447078]
1410, [3324.94370461 7681.25311139]
1420, [3261.51379561 7708.39981845]
1430, [3197.86226998 7735.02274736]
1440, [3133.99345277 7761.12008914]
1450, [3069.91168381 7786.69007047]
1460, [3005.62131738 7811.73095393]
1470, [2941.12672196 7836.24103798]
1480, [2876.43227988 7860.21865722]
1490, [2811.54238708 7883.66218236]
1500, [2746.46145275 7906.57002047]
1510, [2681.19389909 7928.94061496]
